Transaction_ID,Items
1,"Vada Pav, Tea, Milkshake"
2,"Hot Dog, Veg Burger, Coke, Chocolate Cake"
3,"Ice Cream, Brownie, Sweet Corn"
4,"Pizza, Garlic Bread, Pepsi, Lemon Soda"
5,"Hot Dog, Veg Burger, Coke"
6,"Burger, Fries, Coke"
7,"Ice Cream, Brownie"
8,"Idli, Sambar, Filter Coffee"
9,"Burger, Fries, Coke"
10,"Masala Dosa, Filter Coffee"
11,"Coffee, Brownie, Lemon Soda"
12,"Coffee, Brownie, Soup"
13,"Vada Pav, Tea"
14,"Pav Bhaji, Lassi"
15,"Pizza, Garlic Bread, Pepsi"
16,"Ice Cream, Brownie, Soup"
17,"Biryani, Raita, Gulab Jamun"
18,"Kachori, Jalebi, Tea"
19,"Pav Bhaji, Lassi"
20,"Biryani, Raita, Gulab Jamun, Falooda"
21,"Pasta, Garlic Bread, Coke"
22,"Hot Dog, Veg Burger, Coke"
23,"Chole Bhature, Lassi, Papad"
24,"Masala Dosa, Filter Coffee"
25,"Veg Fried Rice, Spring Roll, Sprite"
26,"Biryani, Raita, Gulab Jamun"
27,"Masala Dosa, Filter Coffee"
28,"Hot Dog, Veg Burger, Coke, Soup"
29,"Sandwich, Cold Coffee"
30,"Ice Cream, Brownie, Pickle"
31,"Pizza, Garlic Bread, Pepsi, Salad"
32,"Coffee, Brownie"
33,"Biryani, Raita, Gulab Jamun, Pickle"
34,"Veg Fried Rice, Spring Roll, Sprite"
35,"Chole Bhature, Lassi"
36,"Idli, Sambar, Filter Coffee, Pastry"
37,"Hot Dog, Veg Burger, Coke"
38,"Ice Cream, Brownie, Sweet Corn"
39,"Rasgulla, Tea"
40,"Hot Dog, Veg Burger, Coke"
41,"Samosa, Tea"
42,"Biryani, Raita, Gulab Jamun"
43,"Vada Pav, Tea, Orange Juice"
44,"Paneer Tikka, Naan, Coke"
45,"Chole Bhature, Lassi"
46,"Idli, Sambar, Filter Coffee"
47,"Ice Cream, Brownie"
48,"Burger, Fries, Coke"
49,"Vada Pav, Tea"
50,"Ice Cream, Brownie"
51,"Coffee, Brownie, Sweet Corn"
52,"Masala Dosa, Filter Coffee"
53,"Sandwich, Cold Coffee"
54,"Masala Dosa, Filter Coffee"
55,"Vada Pav, Tea"
56,"Pasta, Garlic Bread, Coke"
57,"Noodles, Manchurian, Sprite"
58,"Samosa, Tea"
59,"Masala Dosa, Filter Coffee"
60,"Noodles, Manchurian, Sprite"
61,"Kachori, Jalebi, Tea, French Fries"
62,"Vada Pav, Tea"
63,"Pasta, Garlic Bread, Coke, Falooda"
64,"Rasgulla, Tea"
65,"Biryani, Raita, Gulab Jamun"
66,"Biryani, Raita, Gulab Jamun"
67,"Ice Cream, Brownie"
68,"Samosa, Tea"
69,"Ice Cream, Brownie, Fruit Salad"
70,"Kachori, Jalebi, Tea"
71,"Veg Fried Rice, Spring Roll, Sprite"
72,"Veg Fried Rice, Spring Roll, Sprite"
73,"Chole Bhature, Lassi"
74,"Pav Bhaji, Lassi"
75,"Noodles, Manchurian, Sprite"
76,"Hot Dog, Veg Burger, Coke, Pickle"
77,"Burger, Fries, Coke"
78,"Hot Dog, Veg Burger, Coke"
79,"Burger, Fries, Coke, Salad"
80,"Hot Dog, Veg Burger, Coke, Salad"
81,"Coffee, Brownie, Falooda"
82,"Sandwich, Cold Coffee"
83,"Veg Fried Rice, Spring Roll, Sprite"
84,"Rasgulla, Tea"
85,"Hot Dog, Veg Burger, Coke"
86,"Paneer Tikka, Naan, Coke, Chocolate Cake"
87,"Paneer Tikka, Naan, Coke"
88,"Paneer Tikka, Naan, Coke"
89,"Pizza, Garlic Bread, Pepsi"
90,"Vada Pav, Tea, Pickle"
91,"Vada Pav, Tea, Lemon Soda"
92,"Ice Cream, Brownie"
93,"Paneer Tikka, Naan, Coke, Muffin"
94,"Hot Dog, Veg Burger, Coke"
95,"Biryani, Raita, Gulab Jamun"
96,"Ice Cream, Brownie, French Fries"
97,"Biryani, Raita, Gulab Jamun"
98,"Hot Dog, Veg Burger, Coke, Donut"
99,"Momos, Pepsi, Soup"
100,"Pizza, Garlic Bread, Pepsi, French Fries"
101,"Chole Bhature, Lassi, Muffin"
102,"Pasta, Garlic Bread, Coke"
103,"Ice Cream, Brownie"
104,"Momos, Pepsi, Curd"
105,"Veg Fried Rice, Spring Roll, Sprite"
106,"Rasgulla, Tea"
107,"Pizza, Garlic Bread, Pepsi"
108,"Pizza, Garlic Bread, Pepsi, Donut"
109,"Noodles, Manchurian, Sprite"
110,"Noodles, Manchurian, Sprite, Fruit Salad"
111,"Biryani, Raita, Gulab Jamun"
112,"Biryani, Raita, Gulab Jamun"
113,"Hot Dog, Veg Burger, Coke"
114,"Rasgulla, Tea, Salad"
115,"Kachori, Jalebi, Tea, Fruit Salad"
116,"Coffee, Brownie"
117,"Veg Fried Rice, Spring Roll, Sprite"
118,"Coffee, Brownie, Soup"
119,"Samosa, Tea"
120,"Pasta, Garlic Bread, Coke"
121,"Biryani, Raita, Gulab Jamun, Chocolate Cake"
122,"Biryani, Raita, Gulab Jamun"
123,"Noodles, Manchurian, Sprite, Papad"
124,"Biryani, Raita, Gulab Jamun"
125,"Pav Bhaji, Lassi, Muffin"
126,"Ice Cream, Brownie"
127,"Kachori, Jalebi, Tea"
128,"Noodles, Manchurian, Sprite, Curd"
129,"Vada Pav, Tea"
130,"Samosa, Tea, Chocolate Cake"
131,"Ice Cream, Brownie, Curd"
132,"Kachori, Jalebi, Tea, Pickle"
133,"Veg Fried Rice, Spring Roll, Sprite"
134,"Sandwich, Cold Coffee"
135,"Sandwich, Cold Coffee"
136,"Pizza, Garlic Bread, Pepsi, Sweet Corn"
137,"Sandwich, Cold Coffee, Pickle"
